studio,course,attendance list,waiting list,instructor,date,maxnr
Studio A,Di 09:30,"[""member_0293"",""member_0170"",""member_0302"",""member_0322"",""member_0442"",""member_0172""]",[],Instructor C,2022-01-04T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0150"",""member_0025"",""member_0267"",""member_0347""]",[],Instructor C,2022-01-11T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0110"",""member_0157""]",[],Instructor C,2022-01-18T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0438"",""member_0157"",""member_0351"",""member_0013"",""member_0409""]",[],Instructor C,2022-01-25T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0452"",""member_0178"",""member_0232"",""member_0004"",""member_0493"",""member_0170""]",[],Instructor C,2022-02-01T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0425"",""member_0188"",""member_0240"",""member_0073"",""member_0172""]",[],Instructor C,2022-02-08T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0465"",""member_0013""]",[],Instructor C,2022-02-15T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0292"",""member_0157"",""member_0005"",""member_0228"",""member_0145"",""member_0232"",""member_0110"",""member_0459"",""member_0438""]","[{""ID"":""member_0347"",""email"":""member-0347@synthetic.invalid"",""name"":""Synthetic Member 0347""},{""ID"":""member_0340"",""email"":""member-0340@synthetic.invalid"",""name"":""Synthetic Member 0340""},{""ID"":""member_0008"",""email"":""member-0008@synthetic.invalid"",""name"":""Synthetic Member 0008""}]",Instructor C,2022-02-22T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0465"",""member_0032""]",[],Instructor C,2022-03-01T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0340"",""member_0041"",""member_0013"",""member_0096"",""member_0406"",""member_0261"",""member_0004""]","[{""ID"":""member_0347"",""email"":""member-0347@synthetic.invalid"",""name"":""Synthetic Member 0347""},{""ID"":""member_0066"",""email"":""member-0066@synthetic.invalid"",""name"":""Synthetic Member 0066""},{""ID"":""member_0232"",""email"":""member-0232@synthetic.invalid"",""name"":""Synthetic Member 0232""}]",Instructor C,2022-03-08T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0340"",""member_0172"",""member_0157""]",[],Instructor C,2022-03-22T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0021"",""member_0428"",""member_0493""]",[],Instructor C,2022-03-29T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0323"",""member_0172"",""member_0042"",""member_0438"",""member_0157"",""member_0005"",""member_0409""]",[],Instructor C,2022-04-05T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0402"",""member_0004""]",[],Instructor C,2022-04-12T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0013"",""member_0172"",""member_0011""]",[],Instructor C,2022-04-19T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0005"",""member_0172"",""member_0442"",""member_0397"",""member_0295"",""member_0157""]",[],Instructor C,2022-04-26T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0005"",""member_0157"",""member_0349"",""member_0227"",""member_0066""]",[],Instructor C,2022-05-03T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0154"",""member_0037"",""member_0430""]",[],Instructor C,2022-05-10T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0402"",""member_0042"",""member_0157"",""member_0005"",""member_0013""]",[],Instructor C,2022-05-17T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0172"",""member_0005"",""member_0157"",""member_0563"",""member_0402""]",[],Instructor C,2022-05-31T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0261"",""member_0005"",""member_0157"",""member_0243"",""member_0402"",""member_0100""]",[],Instructor C,2022-06-07T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0042"",""member_0025"",""member_0438"",""member_0406""]",[],Instructor C,2022-06-14T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0172"",""member_0351"",""member_0203"",""member_0619""]",[],Instructor C,2022-06-21T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0288"",""member_0402"",""member_0196"",""member_0037"",""member_0011"",""member_0013""]",[],Instructor C,2022-06-28T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0297"",""member_0096"",""member_0402"",""member_0533"",""member_0325"",""member_0145""]",[],Instructor C,2022-07-05T07:30:00.000Z,9
Studio A,Di 09:30,[],[],Instructor C,2022-07-12T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0409"",""member_0108"",""member_0402""]",[],Instructor C,2022-07-19T07:30:00.000Z,9
Studio A,Di 09:30,[],[],Instructor C,2022-07-26T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0559"",""member_0110""]",[],Instructor C,2022-08-02T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0203"",""member_0025"",""member_0344"",""member_0347"",""member_0632""]",[],Instructor C,2022-08-09T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0430"",""member_0203"",""member_0227"",""member_0643"",""member_0575"",""member_0632""]",[],Instructor C,2022-08-16T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0005"",""member_0397"",""member_0378"",""member_0232"",""member_0533"",""member_0110""]","[{""ID"":""member_0030"",""email"":""member-0030@synthetic.invalid"",""name"":""Synthetic Member 0030""},{""ID"":""member_0066"",""email"":""member-0066@synthetic.invalid"",""name"":""Synthetic Member 0066""},{""ID"":""member_0228"",""email"":""member-0228@synthetic.invalid"",""name"":""Synthetic Member 0228""},{""ID"":""member_0154"",""email"":""member-0154@synthetic.invalid"",""name"":""Synthetic Member 0154""}]",Instructor C,2022-08-23T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0347"",""member_0103"",""member_0409""]",[],Instructor C,2022-08-30T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0439"",""member_0465"",""member_0150"",""member_0533"",""member_0685"",""member_0154""]",[],Instructor C,2022-09-06T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0194"",""member_0100"",""member_0430"",""member_0551"",""member_0344""]",[],Instructor C,2022-09-13T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0327""]",[],Instructor C,2022-09-20T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0162"",""member_0037"",""member_0021"",""member_0172""]",[],Instructor C,2022-09-27T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0438"",""member_0005"",""member_0575"",""member_0011"",""member_0215"",""member_0110"",""member_0397""]","[{""ID"":""member_0252"",""email"":""member-0252@synthetic.invalid"",""name"":""Synthetic Member 0252""},{""ID"":""member_0091"",""email"":""member-0091@synthetic.invalid"",""name"":""Synthetic Member 0091""},{""ID"":""member_0480"",""email"":""member-0480@synthetic.invalid"",""name"":""Synthetic Member 0480""},{""ID"":""member_0203"",""email"":""member-0203@synthetic.invalid"",""name"":""Synthetic Member 0203""}]",Instructor C,2022-10-04T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0575"",""member_0097"",""member_0684"",""member_0577"",""member_0203""]",[],Instructor C,2022-10-11T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0192"",""member_0196"",""member_0203"",""member_0004"",""member_0030"",""member_0460"",""member_0347""]",[],Instructor C,2022-10-18T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0041"",""member_0632"",""member_0232"",""member_0344""]",[],Instructor C,2022-10-25T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0438"",""member_0589""]",[],Instructor C,2022-11-01T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0401"",""member_0021"",""member_0506"",""member_0636"",""member_0572""]",[],Instructor C,2022-11-08T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0473""]",[],Instructor C,2022-11-15T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0289"",""member_0011"",""member_0577"",""member_0030"",""member_0380""]",[],Instructor C,2022-11-22T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0636"",""member_0187"",""member_0304"",""member_0338"",""member_0013""]",[],Instructor C,2022-11-29T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0172"",""member_0013""]",[],Instructor C,2022-12-06T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0351"",""member_0402"",""member_0572"",""member_0173"",""member_0559"",""member_0636"",""member_0154"",""member_0227""]","[{""ID"":""member_0172"",""email"":""member-0172@synthetic.invalid"",""name"":""Synthetic Member 0172""}]",Instructor C,2022-12-13T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0506"",""member_0013"",""member_0203"",""member_0632""]",[],Instructor C,2022-12-20T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0643""]",[],Instructor C,2023-01-03T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0011"",""member_0351"",""member_0634"",""member_0459"",""member_0559"",""member_0203"",""member_0632""]",[],Instructor C,2023-01-10T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0534"",""member_0401"",""member_0039"",""member_0011"",""member_0240"",""member_0664""]",[],Instructor C,2023-01-17T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0380"",""member_0685"",""member_0004"",""member_0322""]",[],Instructor C,2023-01-24T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0638"",""member_0589"",""member_0347"",""member_0401"",""member_0438""]",[],Instructor C,2023-01-31T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0445"",""member_0636"",""member_0359"",""member_0578""]",[],Instructor C,2023-02-07T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0150"",""member_0563"",""member_0122""]",[],Instructor C,2023-02-14T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0100"",""member_0664"",""member_0054""]",[],Instructor C,2023-02-21T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0408"",""member_0054"",""member_0019""]",[],Instructor C,2023-02-28T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0401"",""member_0430"",""member_0380"",""member_0187"",""member_0347""]",[],Instructor C,2023-03-07T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0534"",""member_0203"",""member_0232"",""member_0438""]",[],Instructor C,2023-03-14T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0636"",""member_0369""]",[],Instructor C,2023-03-21T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0577"",""member_0078"",""member_0327"",""member_0187""]",[],Instructor C,2023-03-28T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0558"",""member_0571"",""member_0057"",""member_0654"",""member_0438""]",[],Instructor C,2023-04-04T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0019"",""member_0066"",""member_0511"",""member_0543"",""member_0012"",""member_0636""]",[],Instructor C,2023-04-11T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0611"",""member_0150"",""member_0531"",""member_0347"",""member_0572"",""member_0430"",""member_0255""]",[],Instructor C,2023-04-18T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0632"",""member_0057"",""member_0438"",""member_0298"",""member_0436"",""member_0469""]",[],Instructor C,2023-05-02T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0601""]",[],Instructor C,2023-05-09T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0093"",""member_0363"",""member_0203""]",[],Instructor C,2023-05-16T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0110"",""member_0203"",""member_0531"",""member_0506"",""member_0438""]",[],Instructor C,2023-05-23T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0611"",""member_0203"",""member_0636"",""member_0042""]",[],Instructor C,2023-05-30T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0600"",""member_0498"",""member_0218"",""member_0039""]",[],Instructor C,2023-06-06T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0534"",""member_0636""]",[],Instructor C,2023-06-13T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0616"",""member_0013"",""member_0034"",""member_0203"",""member_0037"",""member_0425"",""member_0192""]",[],Instructor C,2023-06-20T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0037"",""member_0571""]",[],Instructor C,2023-06-27T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0162"",""member_0054"",""member_0182"",""member_0243"",""member_0312"",""member_0611"",""member_0232"",""member_0239""]",[],Instructor C,2023-07-04T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0036"",""member_0661"",""member_0021"",""member_0227""]",[],Instructor C,2023-07-11T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0506"",""member_0605"",""member_0302""]",[],Instructor C,2023-07-18T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0147"",""member_0606"",""member_0247"",""member_0661"",""member_0110"",""member_0167"",""member_0106"",""member_0286""]",[],Instructor C,2023-07-25T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0072""]",[],Instructor C,2023-08-01T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0411"",""member_0516"",""member_0218""]",[],Instructor C,2023-08-08T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0365"",""member_0664""]",[],Instructor C,2023-08-15T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0401"",""member_0605"",""member_0203"",""member_0162"",""member_0218"",""member_0502""]",[],Instructor C,2023-08-22T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0438"",""member_0019"",""member_0664""]",[],Instructor C,2023-08-29T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0536"",""member_0697"",""member_0572""]",[],Instructor C,2023-09-12T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0238"",""member_0122"",""member_0438"",""member_0571"",""member_0096"",""member_0150""]",[],Instructor C,2023-09-19T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0504""]",[],Instructor C,2023-09-26T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0568"",""member_0380"",""member_0182"",""member_0536""]",[],Instructor C,2023-10-03T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0697"",""member_0583"",""member_0257""]",[],Instructor C,2023-10-10T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0572"",""member_0227"",""member_0606""]",[],Instructor C,2023-10-17T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0616"",""member_0438"",""member_0013"",""member_0531""]",[],Instructor C,2023-10-24T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0506"",""member_0173""]",[],Instructor C,2023-10-31T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0196"",""member_0351"",""member_0664""]",[],Instructor C,2023-11-07T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0606"",""member_0456"",""member_0536"",""member_0643"",""member_0344"",""member_0616"",""member_0252"",""member_0534""]",[],Instructor C,2023-11-14T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0227"",""member_0393"",""member_0401"",""member_0533""]",[],Instructor C,2023-11-21T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0662"",""member_0347"",""member_0664"",""member_0456""]",[],Instructor C,2023-11-28T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0368""]",[],Instructor C,2023-12-05T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0290"",""member_0690"",""member_0274"",""member_0563""]",[],Instructor C,2023-12-19T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0571""]",[],Instructor C,2023-12-26T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0110"",""member_0531"",""member_0199"",""member_0057"",""member_0037"",""member_0401""]",[],Instructor C,2024-01-02T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0643"",""member_0323"",""member_0616"",""member_0162""]",[],Instructor C,2024-01-09T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0571"",""member_0042""]",[],Instructor C,2024-01-23T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0673"",""member_0638"",""member_0616""]",[],Instructor C,2024-01-30T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0576"",""member_0534"",""member_0636""]",[],Instructor C,2024-02-06T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0662"",""member_0636""]",[],Instructor C,2024-02-13T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0057"",""member_0351"",""member_0665"",""member_0625"",""member_0552""]",[],Instructor C,2024-02-20T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0347"",""member_0570"",""member_0537"",""member_0563"",""member_0559""]",[],Instructor C,2024-02-27T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0037"",""member_0506"",""member_0347"",""member_0141"",""member_0312""]",[],Instructor C,2024-03-05T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0206"",""member_0636"",""member_0498""]",[],Instructor C,2024-03-12T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0013"",""member_0555""]",[],Instructor C,2024-03-19T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0232"",""member_0665"",""member_0583""]",[],Instructor C,2024-03-26T08:30:00.000Z,9
Studio A,Di 09:30,"[""member_0620"",""member_0583"",""member_0563"",""member_0109"",""member_0414"",""member_0116"",""member_0636"",""member_0042""]",[],Instructor C,2024-04-09T07:30:00.000Z,9
Studio A,Di 09:30,"[""member_0089"",""member_0013"",""member_0697"",""member_0206"",""member_0533"",""member_0636""]",[],Instructor C,2024-04-16T07:30:00.000Z,9
